15 links:

((0, 1), (0, 4), (1, 2), (2, 3), (3, 7), (4, 5), (5, 6), (6, 10), (7, 11), (8, 9), (8, 12), (9, 10), (11, 15), (12, 13), (13, 14))
((0, 1), (0, 4), (1, 2), (2, 3), (3, 7), (4, 5), (5, 6), (6, 10), (7, 11), (8, 9), (8, 12), (9, 10), (11, 15), (12, 13), (13, 14))
((0, 1), (0, 4), (1, 2), (2, 3), (3, 7), (4, 5), (5, 6), (6, 10), (7, 11), (8, 9), (8, 12), (9, 10), (11, 15), (12, 13), (14, 15))
((0, 1), (0, 4), (1, 2), (2, 3), (3, 7), (4, 5), (5, 6), (6, 10), (7, 11), (8, 9), (8, 12), (9, 10), (11, 15), (13, 14), (14, 15))
((0, 1), (0, 4), (1, 2), (2, 3), (3, 7), (4, 5), (5, 6), (6, 10), (7, 11), (8, 9), (8, 12), (9, 10), (12, 13), (13, 14), (14, 15))
((0, 1), (0, 4), (1, 2), (2, 3), (3, 7), (4, 5), (5, 6), (6, 10), (7, 11), (8, 9), (8, 12), (9, 13), (10, 14), (11, 15), (13, 14))
((0, 1), (0, 4), (1, 2), (2, 3), (3, 7), (4, 5), (5, 6), (6, 10), (7, 11), (8, 9), (8, 12), (9, 13), (11, 15), (13, 14), (14, 15))
((0, 1), (0, 4), (1, 2), (2, 3), (3, 7), (4, 5), (5, 6), (6, 10), (7, 11), (8, 9), (8, 12), (10, 14), (11, 15), (12, 13), (13, 14))
((0, 1), (0, 4), (1, 2), (2, 3), (3, 7), (4, 5), (5, 6), (6, 10), (7, 11), (8, 9), (8, 12), (11, 15), (12, 13), (13, 14), (14, 15))
((0, 1), (0, 4), (1, 2), (2, 3), (3, 7), (4, 5), (5, 6), (6, 10), (7, 11), (8, 9), (9, 10), (11, 15), (12, 13), (13, 14), (14, 15))
((0, 1), (0, 4), (1, 2), (2, 3), (3, 7), (4, 5), (5, 6), (6, 10), (7, 11), (8, 12), (9, 10), (9, 13), (11, 15), (12, 13), (14, 15))
((0, 1), (0, 4), (1, 2), (2, 3), (3, 7), (4, 5), (5, 6), (6, 10), (7, 11), (8, 12), (9, 10), (11, 15), (12, 13), (13, 14), (14, 15))
((0, 1), (0, 4), (1, 2), (2, 3), (3, 7), (4, 5), (5, 6), (6, 10), (8, 9), (8, 12), (9, 10), (11, 15), (12, 13), (13, 14), (14, 15))
((0, 1), (0, 4), (1, 2), (2, 3), (3, 7), (4, 5), (5, 6), (6, 10), (8, 9), (8, 12), (9, 13), (10, 11), (11, 15), (13, 14), (14, 15))
((0, 1), (0, 4), (1, 2), (2, 3), (3, 7), (4, 5), (5, 6), (6, 10), (8, 9), (8, 12), (10, 11), (11, 15), (12, 13), (13, 14), (14, 15))
((0, 1), (0, 4), (1, 2), (2, 3), (3, 7), (4, 5), (5, 6), (7, 11), (8, 9), (8, 12), (9, 10), (10, 11), (12, 13), (13, 14), (14, 15))
((0, 1), (0, 4), (1, 2), (2, 3), (3, 7), (4, 5), (5, 6), (7, 11), (8, 9), (8, 12), (9, 10), (10, 14), (11, 15), (12, 13), (14, 15))
((0, 1), (0, 4), (1, 2), (2, 3), (3, 7), (4, 5), (5, 6), (7, 11), (8, 9), (8, 12), (9, 10), (11, 15), (12, 13), (13, 14), (14, 15))
((0, 1), (0, 4), (1, 2), (2, 3), (3, 7), (4, 5), (5, 6), (7, 11), (8, 12), (9, 10), (9, 13), (10, 14), (11, 15), (12, 13), (14, 15))
((0, 1), (0, 4), (1, 2), (2, 3), (3, 7), (4, 5), (5, 9), (6, 7), (6, 10), (8, 9), (8, 12), (10, 11), (11, 15), (12, 13), (13, 14))
((0, 1), (0, 4), (1, 2), (2, 3), (3, 7), (4, 5), (5, 9), (6, 7), (6, 10), (8, 9), (8, 12), (10, 11), (11, 15), (12, 13), (14, 15))
((0, 1), (0, 4), (1, 2), (2, 3), (3, 7), (4, 5), (5, 9), (6, 7), (6, 10), (8, 9), (8, 12), (10, 11), (11, 15), (13, 14), (14, 15))
((0, 1), (0, 4), (1, 2), (2, 3), (3, 7), (4, 5), (5, 9), (6, 7), (6, 10), (8, 9), (8, 12), (10, 11), (12, 13), (13, 14), (14, 15))
((0, 1), (0, 4), (1, 2), (2, 3), (3, 7), (4, 5), (5, 9), (6, 7), (6, 10), (8, 9), (8, 12), (10, 14), (11, 15), (12, 13), (14, 15))
((0, 1), (0, 4), (1, 2), (2, 3), (3, 7), (4, 5), (5, 9), (6, 7), (6, 10), (8, 9), (8, 12), (11, 15), (12, 13), (13, 14), (14, 15))
((0, 1), (0, 4), (1, 2), (2, 3), (3, 7), (4, 5), (5, 9), (6, 7), (6, 10), (8, 9), (10, 11), (11, 15), (12, 13), (13, 14), (14, 15))
((0, 1), (0, 4), (1, 2), (2, 3), (3, 7), (4, 5), (5, 9), (6, 7), (6, 10), (8, 12), (9, 13), (10, 11), (11, 15), (12, 13), (14, 15))
